Sequential(
  (0): Linear(in_features=8, out_features=12, bias=True)
  (1): ReLU()
  (2): Linear(in_features=12, out_features=8, bias=True)
  (3): ReLU()
  (4): Linear(in_features=8, out_features=1, bias=True)
  (5): Sigmoid()
)
Finished epoch 0, latest loss 0.4962959587574005
Finished epoch 1, latest loss 0.5082092881202698
Finished epoch 2, latest loss 0.4930512309074402
Finished epoch 3, latest loss 0.4772418141365051
Finished epoch 4, latest loss 0.46858277916908264
Finished epoch 5, latest loss 0.4638642370700836
Finished epoch 6, latest loss 0.47343745827674866
Finished epoch 7, latest loss 0.4701710343360901
Finished epoch 8, latest loss 0.4628616273403168
Finished epoch 9, latest loss 0.4591880142688751
Finished epoch 10, latest loss 0.45667800307273865
Finished epoch 11, latest loss 0.45644739270210266
Finished epoch 12, latest loss 0.4594082832336426
Finished epoch 13, latest loss 0.45407652854919434
Finished epoch 14, latest loss 0.4497891366481781
Finished epoch 15, latest loss 0.4425428509712219
Finished epoch 16, latest loss 0.44892391562461853
Finished epoch 17, latest loss 0.44511672854423523
Finished epoch 18, latest loss 0.4469497799873352
Finished epoch 19, latest loss 0.44527459144592285
Finished epoch 20, latest loss 0.43765154480934143
Finished epoch 21, latest loss 0.43248867988586426
Finished epoch 22, latest loss 0.43853744864463806
Finished epoch 23, latest loss 0.4370062053203583
Finished epoch 24, latest loss 0.418814092874527
Finished epoch 25, latest loss 0.4448868930339813
Finished epoch 26, latest loss 0.4470122754573822
Finished epoch 27, latest loss 0.45281943678855896
Finished epoch 28, latest loss 0.44599586725234985
Finished epoch 29, latest loss 0.44230061769485474
Finished epoch 30, latest loss 0.4441549777984619
Finished epoch 31, latest loss 0.44075921177864075
Finished epoch 32, latest loss 0.4452598989009857
Finished epoch 33, latest loss 0.4354131817817688
Finished epoch 34, latest loss 0.4406176507472992
Finished epoch 35, latest loss 0.44215500354766846
Finished epoch 36, latest loss 0.4403061270713806
Finished epoch 37, latest loss 0.4434625804424286
Finished epoch 38, latest loss 0.44465523958206177
Finished epoch 39, latest loss 0.44735467433929443
Finished epoch 40, latest loss 0.43952468037605286
Finished epoch 41, latest loss 0.4237845540046692
Finished epoch 42, latest loss 0.4446616768836975
Finished epoch 43, latest loss 0.43134424090385437
Finished epoch 44, latest loss 0.4320254921913147
Finished epoch 45, latest loss 0.4324163496494293
Finished epoch 46, latest loss 0.42866212129592896
Finished epoch 47, latest loss 0.42239001393318176
Finished epoch 48, latest loss 0.4257439374923706
Finished epoch 49, latest loss 0.4199444651603699
Finished epoch 50, latest loss 0.4127049446105957
Finished epoch 51, latest loss 0.42342787981033325
Finished epoch 52, latest loss 0.416939377784729
Finished epoch 53, latest loss 0.417162150144577
Finished epoch 54, latest loss 0.41612935066223145
Finished epoch 55, latest loss 0.4122348427772522
Finished epoch 56, latest loss 0.41146597266197205
Finished epoch 57, latest loss 0.4103204309940338
Finished epoch 58, latest loss 0.4114937484264374
Finished epoch 59, latest loss 0.40764421224594116
Finished epoch 60, latest loss 0.40918534994125366
Finished epoch 61, latest loss 0.40339338779449463
Finished epoch 62, latest loss 0.41231927275657654
Finished epoch 63, latest loss 0.39894354343414307
Finished epoch 64, latest loss 0.40361639857292175
Finished epoch 65, latest loss 0.4021975100040436
Finished epoch 66, latest loss 0.40699344873428345
Finished epoch 67, latest loss 0.39172738790512085
Finished epoch 68, latest loss 0.40215787291526794
Finished epoch 69, latest loss 0.40103915333747864
Finished epoch 70, latest loss 0.3953467309474945
Finished epoch 71, latest loss 0.40111953020095825
Finished epoch 72, latest loss 0.40265366435050964
Finished epoch 73, latest loss 0.40356701612472534
Finished epoch 74, latest loss 0.3905353546142578
Finished epoch 75, latest loss 0.40001538395881653
Finished epoch 76, latest loss 0.39345061779022217
Finished epoch 77, latest loss 0.4008548855781555
Finished epoch 78, latest loss 0.38820499181747437
Finished epoch 79, latest loss 0.3995576500892639
Finished epoch 80, latest loss 0.3960506319999695
Finished epoch 81, latest loss 0.3851543068885803
Finished epoch 82, latest loss 0.39702028036117554
Finished epoch 83, latest loss 0.39376887679100037
Finished epoch 84, latest loss 0.39327171444892883
Finished epoch 85, latest loss 0.38818442821502686
Finished epoch 86, latest loss 0.38408681750297546
Finished epoch 87, latest loss 0.38158056139945984
Finished epoch 88, latest loss 0.3869316875934601
Finished epoch 89, latest loss 0.3778347373008728
Finished epoch 90, latest loss 0.38442081212997437
Finished epoch 91, latest loss 0.36902353167533875
Finished epoch 92, latest loss 0.37083542346954346
Finished epoch 93, latest loss 0.3677828311920166
Finished epoch 94, latest loss 0.36735066771507263
Finished epoch 95, latest loss 0.36512649059295654
Finished epoch 96, latest loss 0.34679171442985535
Finished epoch 97, latest loss 0.35621219873428345
Finished epoch 98, latest loss 0.3532719314098358
Finished epoch 99, latest loss 0.3554302155971527
